arm,instance,model,featurizer,featurizer_args,model_args,dataset,dataset_rows,cross_validation,fold,wall_s,featurize_s,fit_s,predict_s,dataset_load_s,peak_rss_mb,peak_vram_mb,epochs,device,X_shape,n_train,n_test,status,task_cost_usd,task_realtime_s,tier,model_class,compute_class,instance_family
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2, 3], ""modification_abundance"": false}","{""dropout"": 0, ""hidden_dims"": [128, 128]}",asoptimizer_cleaned,32602,nucleobase,0,189.68677382100003,53.879334727000014,83.25196844300001,0.1704585610000322,0.4608481740000343,1575.768064,17.760768,43.0,cuda:Tesla T4,"[25428, 140]",25428.0,7174.0,ok,0.1402666728,949.686,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2, 3], ""modification_abundance"": false}","{""dropout"": 0, ""hidden_dims"": [128, 128]}",asoptimizer_cleaned,32602,nucleobase,1,188.87990926199996,54.27689245199997,81.30281970500005,0.322579281000003,0.4608481740000343,1673.064448,17.758208,42.0,cuda:Tesla T4,"[25448, 139]",25448.0,7154.0,ok,0.1402666728,949.686,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2, 3], ""modification_abundance"": false}","{""dropout"": 0, ""hidden_dims"": [128, 128]}",asoptimizer_cleaned,32602,nucleobase,2,184.69601707200002,54.833931367000105,76.726139967,0.24321566399999028,0.4608481740000343,1678.823424,17.76384,43.0,cuda:Tesla T4,"[23423, 141]",23423.0,9179.0,ok,0.1402666728,949.686,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2, 3], ""modification_abundance"": false}","{""dropout"": 0, ""hidden_dims"": [128, 128]}",asoptimizer_cleaned,32602,nucleobase,3,181.49110498699997,54.31912950099991,73.60837867399982,0.2667149189999236,0.4608481740000343,1684.25472,17.760768,41.0,cuda:Tesla T4,"[23507, 140]",23507.0,9095.0,ok,0.1402666728,949.686,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2, 3], ""modification_abundance"": false}","{""dropout"": 0, ""hidden_dims"": [128, 128]}",asoptimizer_cleaned,32602,nucleobase,4,195.8993854160001,54.00161286499997,88.71545109900012,0.2841995839999072,0.4608481740000343,1675.423744,17.76384,45.0,cuda:Tesla T4,"[25606, 141]",25606.0,6996.0,ok,0.1402666728,949.686,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,CNN,OneHotEncoder,"{""encode_components"": [""base""]}","{""depth"": 1, ""hidden_dim"": 32, ""kernel_size"": 7, ""pooling_operation"": ""avg""}",asoptimizer_cleaned,32602,random,0,284.46283847000007,91.10732479,193.23137836700005,0.1214392060001046,0.46017154700001583,1673.805824,17.320448,100.0,cuda:Tesla T4,"[26082, 25, 5]",26082.0,6520.0,ok,0.208938898,1419.804,L,CNN,gpu,g4dn
batch_gpu,g4dn.xlarge,CNN,OneHotEncoder,"{""encode_components"": [""base""]}","{""depth"": 1, ""hidden_dim"": 32, ""kernel_size"": 7, ""pooling_operation"": ""avg""}",asoptimizer_cleaned,32602,random,1,285.22911174599994,91.16236470900003,193.96084035599995,0.10320220999994945,0.46017154700001583,1802.108928,17.320448,100.0,cuda:Tesla T4,"[26082, 25, 5]",26082.0,6520.0,ok,0.208938898,1419.804,L,CNN,gpu,g4dn
batch_gpu,g4dn.xlarge,CNN,OneHotEncoder,"{""encode_components"": [""base""]}","{""depth"": 1, ""hidden_dim"": 32, ""kernel_size"": 7, ""pooling_operation"": ""avg""}",asoptimizer_cleaned,32602,random,2,269.7413327029999,90.90562054500003,178.71471351800005,0.11838071600004696,0.46017154700001583,1841.852416,17.320448,92.0,cuda:Tesla T4,"[26082, 25, 5]",26082.0,6520.0,ok,0.208938898,1419.804,L,CNN,gpu,g4dn
batch_gpu,g4dn.xlarge,CNN,OneHotEncoder,"{""encode_components"": [""base""]}","{""depth"": 1, ""hidden_dim"": 32, ""kernel_size"": 7, ""pooling_operation"": ""avg""}",asoptimizer_cleaned,32602,random,3,285.7975688660001,91.43716089600002,194.25412381399997,0.10361835500020788,0.46017154700001583,1841.573888,17.320448,100.0,cuda:Tesla T4,"[26082, 25, 5]",26082.0,6520.0,ok,0.208938898,1419.804,L,CNN,gpu,g4dn
batch_gpu,g4dn.xlarge,CNN,OneHotEncoder,"{""encode_components"": [""base""]}","{""depth"": 1, ""hidden_dim"": 32, ""kernel_size"": 7, ""pooling_operation"": ""avg""}",asoptimizer_cleaned,32602,random,4,285.8004166200001,90.82305147700004,194.87134822200005,0.10348071799990066,0.46017154700001583,1845.686272,17.320448,100.0,cuda:Tesla T4,"[26082, 25, 5]",26082.0,6520.0,ok,0.208938898,1419.804,L,CNN,gpu,g4dn
